Signal_ID,Date,Time,Timestamp,Signal,Prediction,Confidence,Confidence_Bucket,Spot,Strike,OptionType,Target_Nifty,SL_Nifty,Prob_Down,Prob_Side,Prob_Up,XGB_Down,XGB_Side,XGB_Up,LSTM_Down,LSTM_Side,LSTM_Up,Models_Agree,PCR,Equity_Ret,OI_Support,OI_Resistance,Dir_Score,Dir_Verdict,RSI_5m,ADX_5m,MACD_Hist_5m,EMA_Spread,Volatility,Prev_Signal,Signal_Duration_Min,Outcome,Actual_Move_5m,Actual_Move_15m,Actual_Move_30m,Max_Favorable,Max_Adverse,Time_To_Result_Min
44,2026-03-30,11:03:59,2026-03-30T11:03:59.830502,BUY CE,UP,35.9,LOW,22504.1,22550,CE,22586.0,22463.0,32.2,31.9,35.9,38.5,24.6,36.9,22.8,42.8,34.4,NO,0.96,-0.049,22500,23000,-5.3,MILDLY BEARISH,31.1,38.8,2.604,-0.2628,0.182,NO TRADE,1.0,EXPIRED,,,,0,0.3,1.0
45,2026-03-30,11:05:01,2026-03-30T11:05:01.758218,BUY PE,DOWN,42.7,LOW,22503.8,22450,PE,22423.0,22544.0,42.7,25.9,31.4,42.4,17.4,40.2,43.1,38.7,18.2,YES,0.96,-0.063,22500,23000,-5.3,MILDLY BEARISH,31.1,39.0,3.182,-0.2573,0.181,BUY CE,2.0,EXPIRED,,,,0,1.1,2.0
46,2026-03-30,11:07:00,2026-03-30T11:07:00.860017,NO TRADE,SIDEWAYS,36.2,LOW,22504.9,22500,-,22504.900390625,22504.900390625,32.2,36.2,31.7,32.5,31.8,35.7,31.6,42.7,25.7,NO,0.96,-0.031,22500,23000,-4.7,SIDEWAYS / NEUTRAL,31.4,39.4,4.62,-0.2431,0.174,BUY PE,2.0,NO_TRADE,,,,,,
47,2026-03-30,11:08:00,2026-03-30T11:08:00.472420,BUY PE,DOWN,41.2,LOW,22500.35,22450,PE,22421.0,22540.0,41.2,31.9,26.8,38.8,28.5,32.7,44.8,37.1,18.1,YES,0.96,-0.029,22500,23000,-5.3,MILDLY BEARISH,30.5,39.4,4.451,-0.2443,0.175,NO TRADE,3.0,EXPIRED,,,,25.1,0,3.0
48,2026-03-30,11:11:01,2026-03-30T11:11:01.832714,NO TRADE,SIDEWAYS,38.0,LOW,22475.2,22500,-,22475.19921875,22475.19921875,32.2,38.0,29.8,31.5,35.5,33.0,33.2,41.8,25.0,YES,0.96,-0.107,22500,23000,-6.6,MILDLY BEARISH,28.5,39.8,1.647,-0.268,0.18,BUY PE,3.0,NO_TRADE,,,,,,
49,2026-03-30,11:11:59,2026-03-30T11:11:59.826123,BUY PE,DOWN,43.2,LOW,22461.25,22400,PE,22381.0,22501.0,43.2,26.1,30.6,38.9,21.8,39.4,49.7,32.7,17.6,NO,0.96,-0.185,22500,23000,-7.4,MILDLY BEARISH,27.0,40.7,1.644,-0.2663,0.177,NO TRADE,2.1,EXPIRED,,,,0,19.4,2.1
50,2026-03-30,11:14:04,2026-03-30T11:14:04.467690,BUY CE,UP,41.4,LOW,22480.65,22550,CE,22562.0,22440.0,25.2,33.3,41.4,26.1,29.7,44.2,24.0,38.8,37.3,NO,0.91,-0.119,22000,23000,-16.5,BEARISH,32.0,40.6,2.245,-0.2626,0.181,BUY PE,0.9,EXPIRED,,,,0,5.7,0.9
51,2026-03-30,11:15:00,2026-03-30T11:15:00.048291,BUY PE,DOWN,39.1,LOW,22475.0,22450,PE,22395.0,22515.0,39.1,30.1,30.8,33.4,27.0,39.5,47.5,34.8,17.7,NO,0.91,-0.123,22000,23000,-17.3,BEARISH,29.2,40.8,2.768,-0.2571,0.178,BUY CE,1.0,EXPIRED,,,,5.5,0,1.0
52,2026-03-30,11:16:01,2026-03-30T11:16:01.863064,BUY PE,DOWN,41.7,LOW,22469.5,22400,PE,22390.0,22510.0,41.7,27.6,30.7,36.5,24.0,39.5,49.6,33.0,17.5,NO,0.91,-0.142,22000,23000,-16.7,BEARISH,28.4,40.8,2.331,-0.2607,0.179,BUY PE,1.0,EXPIRED,,,,0,12.5,1.0
53,2026-03-30,11:17:01,2026-03-30T11:17:01.142816,BUY CE,UP,38.8,LOW,22482.05,22550,CE,22560.0,22443.0,28.3,32.9,38.8,31.1,28.2,40.8,24.1,40.1,35.8,NO,0.89,-0.052,22000,23000,-24.0,BEARISH,31.7,41.5,3.905,-0.246,0.174,BUY PE,1.0,EXPIRED,,,,0,7.5,1.0
